review_cohort,video,episode_id,mechanism,v1_outcome,start_frame,end_frame,frames_modified,identity_before,identity_after_v1,wrong_identity_frames_before,wrong_identity_frames_after_v1,harmful_persistence_frames,v2_candidate_decision,gate_evidence_stage_id,gate_evidence_portability,gate_uses_gt,proposal_change_episode_count,stage_input_hash,proposal_output_hash,v2_stage_output_hash,modified_span_v2
BENEFICIAL_V1,Pigs291119_000231_30fps,5081113096a1d376133b342dfbebaa64846d1fd5c7db11cde796272e89039ed4,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,712,719,8,ID_1,ID_1,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,99,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,9c9e031a9fe338c212cb870a120ba3dfa0701c4efe66eb932b74418a9d6c28f8,712:719
HARMFUL_V1,Pigs301119_000329_30fps,53ef1df9635a261fbd7eca40aceba36f183aa00938aca42c6094a149f7a99d97,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1572,1581,10,ID_8,ID_8,0,0,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,15,26c89696050544d1470b20ab1b97a7865dec5e4ae7fcffc3ef860be4d88bf433,d2acbdf668c42360e682f8143a1b6adad7ff1356701d10fd5705ea70f0f0fa72,d2acbdf668c42360e682f8143a1b6adad7ff1356701d10fd5705ea70f0f0fa72,1572:1581
LONGEST_HARMFUL_PERSISTENCE,Pigs291119_000231_30fps,75fa58aa200998adcb8fbdcfdb20d083fea391ed628ca66887a7c7bdad346ac5,H5B_HIDDEN_SUFFIX_OVERLAP_PERSISTENCE,AMBIGUOUS,739,1799,1061,ID_5,ID_1,27,1036,1034,REJECTED_ROLLED_BACK,H5B_HIDDEN_SUFFIX_OVERLAP_PERSISTENCE,RF_NATIVE_REDESIGN_REQUIRED,False,2,7a992437d6d330f5aad8a5326f972c1166dd62e8fc9c636e52632d46d5875e08,d96615bf5bb6ae94d32ec7b2009da8d0353a077c61730b85eae075a3a3be764a,7a992437d6d330f5aad8a5326f972c1166dd62e8fc9c636e52632d46d5875e08,NONE
BENEFICIAL_V1,Pigs291119_000263_30fps,79656a9c2a077f5dccd8c637ef44b4369092216e36a26aab391ec2452bf99a67,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,388,407,20,ID_7,ID_7,20,0,0,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,6,4a1b02074d6377fcb88d79d0446a8f9e68cb13a87151e4ada03220d73cefe09f,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,388:407
HARMFUL_V1,Pigs291119_000233_30fps,8884e406edb15d5905e3187ffc2171d29dd7fa086920e1912180b3458dbcf5d6,OFFLINE_IDENTITY_SWAP_GUARD,HARMFUL,1002,1003,2,ID_8,ID_8,0,2,2,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,4,c412b60f027814ba7179e160fd1c841f6bca2ef71b7689f67e36affdbef408f5,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,1002:1003
BENEFICIAL_V1,Pigs301119_000327_30fps,9660cb4833f3c296989b8028414e38a3e6c5a7d5ff2043a7077a8da620123700,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,1424,1425,2,ID_8,ID_8,1,0,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,17,f350b0e7cd0ae4fe069c21461a15ff7b3bf7dfa7885dbf4f3ce25bc2f38e092f,6f3244f64ab37d0e8c9eb71940b06984d776bd49b876d11bb6403f8f834161bd,6f3244f64ab37d0e8c9eb71940b06984d776bd49b876d11bb6403f8f834161bd,1424:1425
HARMFUL_V1,Pigs291119_000233_30fps,a3cd6c85ce2fe06f6e2adb4005fda4e97ee46e00b5fe2764c797452be056a5d7,TEMPORAL_BBOX_REFINEMENT,HARMFUL,1010,1029,20,ID_8,ID_8,19,20,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,72,f5d3ff9beec457a8638eb3f50fde1df2cea6d4d33a208c892daf9253c2ae79e5,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,f5c31057e58f4e1c8b155efb730bf162dfd53f53406250b19638075d788d9362,1010:1029
BENEFICIAL_V1,Pigs291119_000263_30fps,a56c8f85d9f09d29fb2f20101d33dc9250a4f85cf761aa17eb94910f414a4cee,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,388,407,20,ID_4,ID_4,20,0,0,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,6,4a1b02074d6377fcb88d79d0446a8f9e68cb13a87151e4ada03220d73cefe09f,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,388:407
HARMFUL_V1,Pigs291119_000216_30fps,b937fc6297b93c882d80c5a5e6d05d2086d8476734ddc6667cbda1bb7c4c15f4,TEMPORAL_BBOX_REFINEMENT,HARMFUL,168,171,4,ID_1,ID_1,0,2,1,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,34,4e92ec1c1b878bfe9a11feff8d889f87e934a39252761a2a4a948595762d7c45,e24215b37b4d866e8b4f094cf8a827794f3723fc35b54c28f37a191f70dcd4fd,e24215b37b4d866e8b4f094cf8a827794f3723fc35b54c28f37a191f70dcd4fd,168:171
BENEFICIAL_V1,Pigs291119_000263_30fps,d2515aa0ba03906dd890f12853ffb399dc0e4f1459eb0c06bb55d38db613bec9,TEMPORAL_BBOX_REFINEMENT,BENEFICIAL,814,828,15,ID_2,ID_2,11,5,0,ACCEPTED_UNCHANGED_V1_POLICY,TEMPORAL_BBOX_REFINEMENT,PREDECLARED_V1_TRANSFER_STAGE,False,36,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,e47b11448895f97e311d41556d00e01c1eae65b2e01084d75ebb93e48e2f94fb,814:828
BENEFICIAL_V1,Pigs291119_000263_30fps,e668a0cb8aea1d9bcab4342c459c43e9e6ce9bbd77cdcf16ce822e21f0756a62,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,798,813,16,ID_2,ID_2,9,2,2,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,6,4a1b02074d6377fcb88d79d0446a8f9e68cb13a87151e4ada03220d73cefe09f,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,81e43f6e33450aad03f13b9d505700fef0ffa3f8882ee7697f78f1ede2a88fce,798:813
BENEFICIAL_V1,Pigs291119_000231_30fps,ec64e5e853d402b05412f0d507ff264ab40591d60b3494e116e32273557b6c0e,OFFLINE_IDENTITY_SWAP_GUARD,BENEFICIAL,718,719,2,ID_6,ID_6,2,0,0,ACCEPTED_UNCHANGED_V1_POLICY,OFFLINE_IDENTITY_SWAP_GUARD,PREDECLARED_V1_TRANSFER_STAGE,False,6,d0fc3a181d541b5416883bf79e97e89488516cecd08f8d0b6d0bf5ced1df6bd2,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,d584f13676ef4d37fb0e21731ebb33982cd3cd8b341e40ad9f6838e778541ddb,718:719
