method_id,video_id,session_key,frame_count,duration_seconds,FPS,HOTA,DetA,AssA,LocA,IDF1,IDP,IDR,IDSW_STANDARD,FP,FN,fragments,wrong_identity_frames,wrong_identity_seconds,recovered_identity_episodes,terminal_identity_episodes,persistent_pairwise_swaps,evaluation_status
rf_hybrid,Pigs281119_000114_30fps,UNKNOWN,1800,60.0,30.0,0.9263913098204548,0.9242007810594236,0.9286856537347395,0.933684549570302,0.999722222222222,0.999722222222222,0.999722222222222,0,4,4,3,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000216_30fps,UNKNOWN,1800,60.0,30.0,0.8767358405028566,0.8896648320422081,0.8647232790945018,0.9190288257465368,0.97625,0.97625,0.97625,2,7,7,5,3260,108.66666666666306,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000225_30fps,UNKNOWN,1800,60.0,30.0,0.8624094547426219,0.8505094147061814,0.8786904899025092,0.8811227777367693,0.9973611111111113,0.9973611111111113,0.9973611111111113,0,38,38,18,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000226_30fps,UNKNOWN,1800,60.0,30.0,0.8835967033415848,0.8752974236860993,0.8929133679680721,0.9017450450492176,0.9980555555555556,0.9980555555555556,0.9980555555555556,0,28,28,6,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000231_30fps,UNKNOWN,1800,60.0,30.0,0.7614889711123988,0.8911606412953773,0.6518471429890663,0.9217895763718432,0.8322222222222222,0.8322222222222222,0.8322222222222222,4,92,92,6,2965,98.83333333333027,3,4,2,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000233_30fps,UNKNOWN,1800,60.0,30.0,0.7506544344007287,0.913376310264782,0.6169983460594336,0.9456803676251204,0.7637048402845585,0.7670215746707761,0.7604166666666666,4,166,290,13,3235,107.83333333332978,6,4,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000263_30fps,UNKNOWN,1800,60.0,30.0,0.8304657553839155,0.9002220937591014,0.7661414626299042,0.9129187515819048,0.9122916666666666,0.9122916666666666,0.9122916666666666,4,13,13,8,1283,42.7666666666668,8,0,1,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs291119_000302_30fps,UNKNOWN,1800,60.0,30.0,0.9325725244010946,0.929689163722655,0.935711314490122,0.9300592684987093,0.9991666666666666,0.9991666666666666,0.9991666666666666,0,12,12,3,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs301119_000327_30fps,UNKNOWN,1800,60.0,30.0,0.866474862675296,0.87739371032987,0.8557741919183794,0.899861121871894,0.9795138888888888,0.9795138888888888,0.9795138888888888,2,10,10,7,296,9.866666666666642,0,2,1,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs301119_000328_30fps,UNKNOWN,1800,60.0,30.0,0.9246672602444705,0.9194775222426412,0.9304300415449344,0.9272835638522032,0.9979861111111112,0.9979861111111112,0.9979861111111112,0,29,29,10,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs301119_000329_30fps,UNKNOWN,1800,60.0,30.0,0.9349968589554456,0.9325050344249473,0.9376420054200904,0.933691137571078,0.9999305555555555,0.9999305555555555,0.9999305555555555,0,1,1,1,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
rf_hybrid,Pigs301119_000330_30fps,UNKNOWN,1800,60.0,30.0,0.9252294868968904,0.9216822687660428,0.9290076872282292,0.9316875153339692,0.9997916666666666,0.9997916666666666,0.9997916666666666,0,3,3,2,0,0.0,0,0,0,COMPARABLE_STANDARD_V2_PRIMARY
