method_id,video_id,HOTA_primary,HOTA_visible_only,HOTA_visible_minus_primary,AssA_primary,AssA_visible_only,AssA_visible_minus_primary,IDF1_primary,IDF1_visible_only,IDF1_visible_minus_primary,wrong_identity_frames_primary,wrong_identity_frames_visible_only,wrong_identity_frames_visible_minus_primary,interpretation
realtime_fast,Pigs291119_000231_30fps,0.7589687443112137,0.7554653767995633,-0.003503367511650479,0.6500668165254376,0.6521360407833527,0.0020692242579151143,0.8326388888888889,0.825262395946435,-0.007376492942453905,3071,2865,-206,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs291119_000233_30fps,0.835577521110272,0.8345986725457832,-0.0009788485644887102,0.7685873373261944,0.762928051608223,-0.005659285717971474,0.868670665364765,0.871506790869658,0.0028361255048929834,1669,1577,-92,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs291119_000263_30fps,0.892991620338211,0.8740359782839274,-0.018955642054283572,0.8942637651003859,0.8760875071984211,-0.018176257901964754,0.9940277777777776,0.9796595804788474,-0.014368197298930241,128,96,-32,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs291119_000302_30fps,0.9323309889174566,0.9306179871018392,-0.0017130018156173987,0.935489753768413,0.9337040477881812,-0.0017857059802318664,0.9995833333333332,0.9969978356489563,-0.0025854976843768807,0,2,2,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs301119_000327_30fps,0.8661318186737885,0.8600374292967429,-0.00609438937704565,0.8554559255211883,0.8499222735329113,-0.005533651988277044,0.979236111111111,0.9755127668480535,-0.0037233442630574265,293,282,-11,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs301119_000328_30fps,0.9241796241862295,0.9233002954235294,-0.0008793287627000268,0.9299970930794516,0.9286971991470102,-0.0012998939324413428,0.9968055555555556,0.996860392102142,5.48365465863343e-05,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs301119_000329_30fps,0.9346925101343024,0.9296618965048756,-0.005030613629426806,0.9373335337849082,0.9323282631451533,-0.005005270639754977,0.9999305555555555,0.9965125200530097,-0.0034180355025458242,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
realtime_fast,Pigs301119_000330_30fps,0.9250926057335886,0.9247041133441906,-0.0003884923893980874,0.9288734581509605,0.9284805976322147,-0.00039286051874576344,0.9997916666666666,0.9995137538205057,-0.0002779128461609659,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs281119_000085_30fps,0.9102902838355558,0.9096054005679681,-0.0006848832675876437,0.9142833644649264,0.913563676264104,-0.0007196882008224659,0.995625,0.9949926976841227,-0.0006323023158772978,3476,3474,-2,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs281119_000114_30fps,0.9263913098204548,0.9240254499948183,-0.0023658598256365293,0.9286856537347395,0.9263394183214606,-0.002346235413278941,0.999722222222222,0.9981916817359855,-0.0015305404862364647,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000216_30fps,0.8767358405028566,0.8100610818444817,-0.06667475865837491,0.8647232790945018,0.8436403503657306,-0.021082928728771155,0.97625,0.9034734645199761,-0.07277653548002383,3260,1698,-1562,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000225_30fps,0.8624094547426219,0.8309150403981613,-0.03149441434446054,0.8786904899025092,0.8486333749936751,-0.030057114908834115,0.9973611111111113,0.9761693362218986,-0.021191774889212645,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000226_30fps,0.8835967033415848,0.8628418277174021,-0.020754875624182656,0.8929133679680721,0.8722556000532747,-0.020657767914797343,0.9980555555555556,0.9829228706513302,-0.015132684904225369,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000231_30fps,0.7614889711123988,0.7562464679478218,-0.005242503164576973,0.6518471429890663,0.6501566664717628,-0.0016904765173034741,0.8322222222222222,0.8261656530553142,-0.006056569166907999,2965,2846,-119,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000233_30fps,0.7506544344007287,0.7482174267085272,-0.002437007692201454,0.6169983460594336,0.612656055969274,-0.004342290090159628,0.7637048402845585,0.7628902638503663,-0.000814576434192249,3235,3122,-113,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000263_30fps,0.8304657553839155,0.8083351850888935,-0.02213057029502208,0.7661414626299042,0.7436500340196339,-0.022491428610270314,0.9122916666666666,0.8969487215708434,-0.015342945095823235,1283,1255,-28,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs291119_000302_30fps,0.9325725244010946,0.9305803691138496,-0.0019921552872450565,0.935711314490122,0.9336653103156131,-0.002046004174508953,0.9991666666666666,0.9970674486803519,-0.0020992179863147387,0,2,2,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs301119_000327_30fps,0.866474862675296,0.8600758867306946,-0.0063989759446014816,0.8557741919183794,0.849948964565673,-0.005825227352706408,0.9795138888888888,0.9755808274611038,-0.003933061427785045,296,280,-16,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs301119_000328_30fps,0.9246672602444705,0.9235166491860911,-0.001150611058379436,0.9304300415449344,0.9288824707826183,-0.0015475707623160417,0.9979861111111112,0.9969999302309356,-0.0009861808801756577,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs301119_000329_30fps,0.9349968589554456,0.9298302485484033,-0.005166610407042249,0.9376420054200904,0.9325007496966944,-0.0051412557233959655,0.9999305555555555,0.9965125200530097,-0.0034180355025458242,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
rf_hybrid,Pigs301119_000330_30fps,0.9252294868968904,0.9247595402243382,-0.0004699466725522905,0.9290076872282292,0.9285364568910746,-0.0004712303371546822,0.9997916666666666,0.9995137538205057,-0.0002779128461609659,0,0,0,SENSITIVITY_ONLY_NOT_HUMAN_HIDDEN_VALIDATION
