comparison_id,candidate_method,reference_method,metric,resampling_unit,omitted_cluster,cluster_count_retained,full_mean_paired_difference,leave_one_out_mean_paired_difference,change_from_full_mean,independence_status
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000216_30fps,12,0.05121184605369982,0.055329036928545176,0.004117190874845356,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000225_30fps,12,0.05121184605369982,0.05549107396558223,0.004279227911882406,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000226_30fps,12,0.05121184605369982,0.055334823965582224,0.004122977911882403,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000231_30fps,12,0.05121184605369982,0.04041005544706369,-0.010801790606636129,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000233_30fps,12,0.05121184605369982,0.04969907407407403,-0.0015127719796257932,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000263_30fps,12,0.05121184605369982,0.051440148039656304,0.00022830198595648332,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs291119_000302_30fps,12,0.05121184605369982,0.04896329618780445,-0.0022485498658953718,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs301119_000327_30fps,12,0.05121184605369982,0.05546792581743406,0.0042560797637342385,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs301119_000328_30fps,12,0.05121184605369982,0.05458250915076741,0.003370663097067586,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs301119_000329_30fps,12,0.05121184605369982,0.05450727766928592,0.0032954316155860974,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
